가수,제목,발매일,장르,가사
레게 강 같은 평화,부산 바캉스,2012.07.30,"댄스, 랩/힙합",오늘밤엔 분명히운명적인 만남이시작 될 것 같은데잠시만 어제 고민 다 접어 놓고별을 보러 떠나요Baby어젯밤 울었나요두 눈 부어있네요내 손 잡아요한번만 딱 한번만Oh 나를 믿어요화장은 안해도 돼 쌩얼로멘트는 달콤해도 쎈걸로니 여자친구들도내 남자친구들도돈 걱정 하지 말고 다 불러이뻐 넌Reggae Drum절대 후회 없는 걸그대가 원하는 것이면뭐든지 해줄게 오늘밤RAHLet’s GoEverybody come to해운대Oh OhEverybody come to광안리Oh OhEverybody come to동백섬Oh Oh Oh Oh부산 바캉스Everybody come to남포동Oh OhEverybody come to자갈치시장Oh OhOh We rocking with the아가씨Oh we rockOh we rock rock부산 바캉스길을 잃어 헤맬 때별이 보이지 않을 때해줄 것은 없지만아직도 끙끙대며걱정하는 그대이 노래를 불러요쓸데없는 생각들은 하지마우리는 서로에게 마지막가끔씩 다른 여자 눈길이 가도내 마음은 항상 너니까이뻐 넌Reggae Drum절대 후회 없는 걸그대가 원하는 것이면뭐든지 해줄게 오늘밤RAHLet’s GoEverybody come to해운대Oh OhEverybody come to광안리Oh OhEverybody come to동백섬Oh Oh Oh Oh부산 바캉스Everybody come to남포동Oh OhEverybody come to자갈치시장Oh OhOh We rocking with the아가씨Oh we rockOh we rock rock부산 바캉스Say랄랄랄라 랄랄라랄랄랄라 랄랄라랄랄랄라 랄랄라Oh we rockOh we rock rock부산 바캉스Let’s GoEverybody come to해운대Oh OhEverybody come to광안리Oh OhEverybody come to동백섬Oh Oh Oh Oh부산 바캉스랄랄랄라 랄랄라랄랄랄라 랄랄라랄랄랄라 랄랄라Oh we rockOh we rock rock부산 바캉스
소녀시대 (GIRLS' GENERATION),Lion Heart,2015.08.18,댄스,Oooh 너와 나 첨 만났을 때Oooh 마치 사자처럼 맴돌다기회를 노려 내 맘 뺏은 너Ah 넌 달라진 게 없어 여전해난 애가 타고 또 타사냥감 찾아 한 눈 파는 너수백 번 밀어내야 했는데 수천 번 널 떠나야 했는데Tell me why왜 맘이 맘이 자꾸 흔들리니난 여기 여기 네 옆에 있잖니정신 차려 Lion heart난 애가 타내 맘이 맘이 더는 식지 않게난 여기저기 뛰노는 너의 맘길들일래 Lion heartOhOhOh OhOhOhOhOh OhOhOh OhOhOhOhOhOooh 넌 자유로운 영혼 여전해충실해 본능 앞에지금 네 옆에 난 안 보이니수백 번 고민 고민해봐도수천 번 결국 답은 너인데Tell me why왜 맘이 맘이 자꾸 흔들리니난 여기 여기 네 옆에 있잖니정신 차려 Lion heart난 애가 타내 맘이 맘이 더는 식지 않게난 여기저기 뛰노는 너의 맘길들일래 Lion heartOhOhOh OhOhOhOhOh 곤히 잠자는 나의 코끝을 Baby OhOhOh OhOhOhOhOh네가 건드려 나도 화가 나 Baby Tell me why왜 맘이 맘이 자꾸 흔들리니난 여기 여기 네 옆에 있잖니정신 차려 Lion heart난 애가 타내 맘이 맘이 더는 식지 않게난 여기저기 뛰노는 너의 맘길들일래 Lion heartLadies y’all know what I’m talking about rightYeah 모두 다 아니라 해도 좋을 때 있지 않아사실 나만 좋음 됐지 뭐 바람보다 빠른 눈치로 맘은 뜨겁게햇살처럼 따뜻한 말로 머린 차갑게길들일래 너의 Lion heart 사자 같은 너의 Lion heartLalala Lalalalala 여기 와서 앉아 Lalala Lalalalala내 곁에만 있어Lalala Lalalalala한 눈 팔지 말아 Lion heart
Red Velvet (레드벨벳),피카부 (Peek-A-Boo),2017.11.17,댄스,Uhm yeah yah Oh gosh 난리야 Oh gosh 맞아 난 좀 기분파 헤 금방 또 사랑에 빠져 Yeah yeah yeah yeah 새것만 좋아해요 반짝거리죠 다들 그렇잖아요 맞죠 Peek A Boo 설렐 때만 사랑이니까 La la la la la 내 친구 모두 소리쳐 넌 정말 문제야 I’m fine fine fine fine fine fine Peek Peek A Peek A Boo Peek Peek A Peek A Boo 흥이 난 여우 그런 나라구 Peek Peek A Peek A Boo I said 1 2 3 Play the game again 버튼을 눌러보자 쿵푸만큼 빨리 중간에 내 맘 변해도 놀라지 말기 혹시 끌리지 않니 그럼 Excuse me 자 전화해요 밤새 또 놀러 가요 함께 Restart a game 돌진해 롤링해 블랑카 오늘 저녁도 Let’s go 놀이터는 붐비고 지루해질 틈조차 없죠 Yeah yeah yeah 빙글빙글 돌아요 다들 똑같죠 오 마침내 마주친 눈빛 Peek A Boo 새로워요 사랑인가요 La la la la la 내 친구 모두 소리쳐 넌 정말 문제야 I’m fine fine fine fine fine fine Ma Boo Boo Boo Peek A Boo Boo Boo BooPeek Peek A Peek A BooPeek Peek A Peek A BooPeek Peek A Peek A Boo술래는 너로 정해졌어재밌을 거야 끼워 줄게Peek Peek A Peek A Boo저 달이 정글짐에 걸릴시간까지 노는 거야Peek Peek A Peek A BooPeek A Boo 이상해 어라 넌 좀 달라이런 게임 멈추고 너를 다시 보게 돼무섭지 않아 난 새로운 얘기가펼쳐질 거라는 걸 방금 느꼈으니까Peek Peek A Peek A BooPeek Peek A Peek A Boo흥이 난 여우 그런 나라구Peek Peek A Peek A Boo술래는 너로 정해졌어재밌을 거야 끼워 줄게Peek Peek A Peek A Boo저 달이 정글짐에 걸릴시간까지 노는 거야Peek Peek A Peek A Boo술래는 너로 정해졌어재밌을 거야 네가 좋아Peek Peek A Peek A Boo저 달이 정글짐에걸릴 시간이지만 더 놀자Peek Peek A Peek A BooPeek A BooPeek A BooPeek A Boo
H.O.T.,행복,1997.07.05,댄스,한번도 난 너를 잊어본적 없어오직그대만을 생각했는걸그런 너는 뭐야 날 잊었던 거야지금 내 눈에선 눈물이 흘러배신감 느껴널 찾아갈까 생각했어난 난 잘 모르겠어이 세상이 돌고있는 지금내 눈에는 너밖에 뭐지할말이 없어 갈 수도 없어눈물도 없어 느낌도 없어네 앞에 서 있는 날 바라봐이렇게 널 위해 살아있는 날약속된 시간이 왔어요 그대 앞에 있어요두려움에 울고 있지만눈물을 닦아주었어요그때 내 손잡았죠일어날거야 함께 해준그대에게 행복을눈감고 그댈 그려요 맘속 그댈 찾았죠나를 밝혀주는 빛이 보여영원한 행복을 놓칠 순 없죠그대 나 보이나요 나를 불러줘요그대곁에 있을거야 너를 사랑해 함께해요 그대와 영원히한번도 난 너를 너를잊어 본적 없어 없어오직 그대만을 생각했는걸몰라 몰라그런 너는 뭐야 뭐야날 잊었던 거야 거야지금 내 눈에선눈물이 흘러 배신감 느껴약속된 시간이 왔어요 그대 앞에 있어요두려움에 울고 있지만눈물을 닦아주었어요그때 내 손잡았죠일어날거야 함께 해준그대에게 행복을눈감고 그댈 그려요맘속 그댈 찾았죠나를 밝혀주는 빛이 보여영원한 행복을 놓칠 순 없죠그대 나 보이나요 나를 불러줘요그대곁에 있을거야 너를 사랑해 함께해요 그대와 영원히눈감고 그댈 그려요맘속 그댈 찾았죠나를 밝혀주는 빛이 보여영원한 행복을 놓칠 순 없죠그대 나 보이나요나를 불러줘요 언제라도그대 마음을 열어 보아요앞엔 내가 있어요나를 불러줘요 그대 곁에있을거야 너를 사랑해 함께해요 그대와 영원히
tripleS (트리플에스),Rising,2023.02.13,댄스,알아 너의 마음나를 보고 웃는앞에서는 오직 박수 세례그 뒤엔 위선 뿐I See You Lying Me질투 섞인 걱정 따윈 Stop It Now세상에서 정해준 Route I Don’t Mind춤에 리듬 맡긴 채나를 믿어볼 순간Woo Rising이제 일어서서 고개들고 Fight It흔들려도 피어나는 꽃 드러내What I’m FeelingWoo Rising 이제 본질 속에진주처럼 Like It반짝이는 나를 향해 Try세상에 One And Only BabyJust 꿈이 아닌 현실의 Dejavu단단해져 고난은 Make It TrueJust 꿈에서 본 내 모습 Dejavu고통이 지나고 달라진 Make It Move비바람 좀 더 세게 더 강해질 내게 바래날 믿어 Just Let MeI Can Make It Raise It Recover It Now자신있게 걷는 걸음 걸이벌써 따라잡은 꿈의 거리One Day 이루리라Today 다르리라나만 믿으리란 다짐관심없어 네게 신경 쓰지 않아마치 친구처럼 Acting 하고Reaction 해 ButI See You Lying MeJust 꿈이 아닌 현실의 Dejavu단단해져 고난은 Make It TrueJust 꿈에서 본 내 모습 Dejavu고통이 지나고 달라진 Make It Move비바람 좀 더 세게 더 강해질 내게 바래날 믿어 Just Let MeAnd I Never Let Dream GoJust 꿈이 아닌 현실의 Dejavu단단해져 고난은 Make It TrueJust 꿈에서 본 내 모습 Dejavu고통이 지나고 달라진 Make It Move비바람 좀 더 세게 더 강해질 내게 바래날 믿어 Just Let MeAnd I Never Let Dream GoAlways Closer빨리 따라와You Just FollowLa-La-La-La
Stray Kids (스트레이 키즈),소리꾼,2021.08.23,댄스,"Oh 소리를 지르는 내가 oh창빈이란다 내 자리는 내가 취한다태도는 터프하게 트랙 위를 폭주하는 기관차 ey몰아치는 허리케인에 뒤집어진 우산잔소리꾼의 최후 하하 꼴이 좋구나나무꾼은 어서 돌아가시오 여긴 나무랄 데가 없네납작해질 리 없는 콧대 목 핏대와 함께 세운 줏대훨씬 더 웅장하게 내는 경적 소리 빵빵 빵빵Here they come악당 무리에 뜨거운 피가 돌아 온몸에 번져소문난 꾼들의 모임에 쏟아지는 눈빛은Freezing cold but I know we'll burn forever해보라는 태도 난 여전히할 말을 내뱉지 퉤 퉤 퉤소리꾼소리꾼 (퉤 퉤 퉤)소리꾼Man I’m not sorry, I’m dirty우르르쾅쾅쾅쾅 천둥 (빠라바밤)구름 타고 두둥 (빠라바밤)바람과 함께 등장한 꾼BANG BANG BANG BOOMMan I’m not sorry, I’m dirtyKeep on talking, we don’t play by the rules그래 다들 헛소리소리소리이거저거 귀찮아서 도리도리말이 너무 많아 자꾸 나서지 좀 말아Why you mad? Why you sad? Why you 틱틱틱Out of 안중얼레리 꼴레리 멋있는 척들이 앙증발끝조차도 따라오지 못해 여긴 내 판들들어봐 (What’s up?)질투가 (나나 봐)전부 한쪽으로 치워놓고 버려Here they come악당 무리에 뜨거운 피가 돌아 온몸에 번져소문난 꾼들의 모임에 쏟아지는 눈빛은Freezing cold but I know we'll burn forever해보라는 태도 난 여전히할 말을 내뱉지 퉤 퉤 퉤Hahaha소리꾼소리꾼 (퉤 퉤 퉤)소리꾼Man I’m not sorry, I’m dirty꾼들이 왔어요 (huh)꾼들이 왔어요 (비켜라)날이면 날마다 오는 날이 아닌 오늘소리꾼들이 왔어요원래 삐딱해 소리는 일당백맘에 안 들면 들 때까지 말대답해Final warning 당장 back up뱉어센 척Back off할 말을 내뱉지 퉤 퉤 퉤소리꾼소리꾼Man I’m not sorry, I’m dirty우르르쾅쾅쾅쾅 천둥 (빠라바밤)구름 타고 두둥 (빠라바밤)바람과 함께 등장한 꾼BANG BANG BANG BOOMMan I’m not sorry, I’m dirtyKeep on talking, we don’t play by the rules
"
블락비 (Block B),YESTERDAY,2017.02.06,댄스,너 아닌 척하지마눈에 보이지만넘어가는 걸What did you do yesterday곰인 척하지마여우인 걸 알지만넘어가는 걸What did you do yesterdayWhat did you do yesterdayWhat did you do do do do일찍 잔다는 너요새 피곤하다며열한 시간 동안잠수더니 또 피곤하대무심코 내려놓은 듯한 폰은오늘도 덮어놓고는내가 예민하대어디까지가 진실 어디까지가거짓인지 어디 설명해봐넌 얼굴색 하나 안 변하고육하원칙으로 반론해언제나 쏘아붙이면대활 거부해팩트를 들이대면 모르쇠Yesterday all my troublecame close to me또 나만 호구된 청문회너 아닌 척하지마눈에 보이지만넘어가는 걸What did you do yesterday곰인 척하지마여우인 걸 알지만넘어가는 걸What did you do yesterday넌 너가 예쁜 걸알아서 문제야No no no no은근슬쩍 시선 즐기는 너불안하게 왜 그래No no no no프로필 사진은 왜 바꾼 거야옷은 왜 어제랑 똑같은 거야일부러 싫증 유발하는 거야끝장내고 싶은 거야 뭐야I Don’t KnowWhy I Love You eh심증뿐인 추궁은본전도 못 건졌네넌 내 머리 위 난 네 발 밑아쉬운 쪽이손해 보는 싸움너 아닌 척하지마눈에 보이지만넘어가는 걸What did you do yesterday곰인 척하지마여우인 걸 알지만넘어가는 걸What did you do yesterday라리라라라 라라라라라돌고 도는 패턴이지만라리라라라 라라라라라넘어가는 걸What did you do yesterday알면서도 속아주는 거야그만큼 널 좋아하는 거야다만 들키지만 말아줘그럼 다 눈감아줄게뭐든지 해줄게너 아닌 척하지마눈에 보이지만넘어가는 걸What did you do yesterday곰인 척하지마여우인 걸 알지만넘어가는 걸What did you do yesterday라리라라라 라라라라라돌고 도는 패턴이지만라리라라라 라라라라라넘어가는 걸What did you do yesterday
2NE1,UGLY,2011.07.28,댄스,밝게 웃어보지만내 맘에 들지 않아난 예쁘지 않아 아름답지 않아Oh oh oh oh Oh oh oh oh 노랠 불러보지만아무도 듣지 않아난 예쁘지 않아 아름답지 않아Oh oh oh oh Oh oh oh oh 난 왜 이렇게 못난 걸까어떡하면 나도 너처럼 환하게 웃어볼 수 있을까또 화가나 왜 늘 완벽하지 못해이 깨진 거울 속 못난 모습을 향해 탓하기만 해쳐다보지마 지금 이 느낌이 싫어 난어디론가 숨고만 싶어 벗어 나고 싶어이 세상은 거짓말I think I’m uglyAnd nobody wants to love meJust like her I wanna be pretty I wanna be prettyDon’t lie to my face tellin’ me I’m prettyI think I’m uglyAnd nobody wants to love me        Just like her I wanna be pretty I wanna be prettyDon’t lie to my face cuz I know I’m ugly날 쉽게 이해한다고 하지마못 생기고 삐뚤어진 내 마음이 널 원망할지도 몰라말 시키지마 난 너와 어울리지 못해그 잘난 눈빛 속 차가운 가식이 날 숨막히게 해다가오지마 너의 관심조차 싫어 난어디론가 떠나고 싶어 소리 치고 싶어이 세상은 거짓말I think I’m uglyAnd nobody wants to love meJust like her I wanna be pretty I wanna be prettyDon’t lie to my face tellin’ me I’m prettyI think I’m uglyAnd nobody wants to love meJust like her I wanna be pretty I wanna be prettyDon’t lie to my face cuz I know I’m uglyAll aloneI’m all alone I’m all alone 따뜻함이란 없어곁엔 아무도 없어All alone I’m all alone All alone I’m all aloneI’m always all alone따뜻함이란 없어곁엔 그 누구도 날 안아줄 사람 없어I think I’m uglyAnd nobody wants to love meJust like her I wanna be pretty I wanna be prettyDon’t lie to my face tellin’ me I’m prettyI think I’m uglyAnd nobody wants to love meJust like her I wanna be pretty I wanna be prettyDon’t lie to my face cuz I know I’m ugly
마마무 (Mamamoo),음오아예 (Um Oh Ah Yeh),2015.06.19,댄스,oh yes 음 오 아 예 너에게  빠져들겠어 자꾸 반응하잖아 oh yes 음 오 아 예  그래 난 다가가겠어 넌 내 취향저격 ace 내 앞을 지나갔어 눈빛이 마주쳤어스타일이 좋아 느낌이 좋아다를 게 없는 오늘 너 땜에 달아오른오늘이 좋아 음오아예첫 번째 플랜감탄사 그 동안에찾아 헤멘 남자음오아 예스맞는 옷처럼 잘 어울리는 너야부드럽게 이런 말 어떤 것 같아음 두 번째 플랜 먼저 당기기오오 동공 떨리는 초침 스탠바이 큐아 시간되면 차 한잔 할래요예스 이런 건 어떤 것 같아oh yes 음 오 아 예  너에게 빠져들겠어 자꾸 반응하잖아 oh yes 음 오 아 예  그래 난 다가가겠어 넌 내 취향저격 ace 본능을 따르겠어 날 감추지 않겠어 오늘은 달라 먼저 다가가걸음은 도도하게 말투는 애교 있게날 보는 눈빛 음오아예help me 시간 좀 되나요 나 좀 도와줘요그 쪽 때문에 오감이 제멋대로예요그 쪽이 예고 없이 날리는 미소에 음콜린퍼스도 울고 갈 당신의 매너에 오여자라 해도 믿을만한 피부 아예넌 존재자체 감탄사 절로 나네음오아예 나도 모르게 달아오르네홀릭oh yes 음 오 아 예 너에게 빠져들겠어 자꾸 반응하잖아 oh yes 음 오 아 예 그래 난 다가가겠어 넌 내 취향저격 ace 목소리도 oh yes 눈웃음도 oh yes 네 모든 게 머리부터 발끝까지 다 oh yes지금 널 보면 난 oh yes단 둘이서 oh yes 드루루 드루루 드루루 oh yes뜨거워지는 이 분위기 너와 나의 거리우리 사이로 한 여자가 걸어 와 때마침그의 여자친구인 건지 아님 친군 건지 다가와언니 이 여자 누구예요여자였어 OH MY GODoh yes 음 오 아 예 너에게 빠져들겠어 자꾸 반응하잖아 oh yes 음 오 아 예 그래 난 다가가겠어 넌 내 취향저격 ace 목소리도 oh yes 눈웃음도 oh yes Oh 너의 모든 게 머리부터 발끝까지 다 oh yes
Apink (에이핑크),D N D,2023.04.05,댄스,D N D nowNever waste your lifeD N D now하늘을 바라본 게 글쎄 언제였더라생각도 안 나잖아 고단한 Daylife가끔은 Eye to Eye on 거울에 눈을 맞춰입꼬릴 Up 더 보여 줄래 Smiley face자그만 네 Room 한구석에서긴 한숨을 Hoo 혼자 걱정하진 않길잊은 채로 살았던 palette 속에골라봐 봐 너의 색만나게 될 거야 네 가능성Now 하나하나 Paint your frameJust D N D now누구도 막을 수 없어계속 걸어네 방식대로 Find your wayJust D N D now언제나 live it like you’re twenty twoBetter better better move너를 있는 모습 그대로 믿어봐해야 하는 것보단 하고 싶은 걸로과감하게 Take that 그래도 돼Oh 행복이라는 건 생각 외로 단순해머나먼 저편에 찾아 헤맨 Heaven사실 여기 있는 걸네 마음의 Room 한구석으로미뤄왔던 꿈 더 외면하지는 않길때론 아무 대책 없이내일을 낙관해도 괜찮아네 마음속에 가득 쌓인 Dust전부 다 털어봐Just D N D now누구도 막을 수 없어계속 걸어네 방식대로 Find your wayJust D N D now언제나 live it like you’re twenty twoBetter better better move너를 있는 모습 그대로 믿어봐사는 게 문득 불안할 땐네 곁에 있는 나를 기억해앞을 향해서 Don’t ever looking back비가 온 뒤 더 단단해질 너를 알잖아늘 함께 할 거야어른이 돼 가는 너의 과정에헤맨다고 해도 괜찮으니까Find your wayD N D now 희망이 비치는 Road걷고 걸어 더 눈부시게 빛날 DaysJust D N D now온 세상 가득해질 너만의Color color color ooh좋아 지금 모습 그대로 live your lifeJust D N D now누구도 막을 수 없어계속 걸어네 방식대로 Find your wayJust D N D now널 가득하게 채워 24Better better better move좋아 지금 모습 그대로 live your lifeYou better better better move너를 있는 모습 그대로 믿어봐
방탄소년단,불타오르네 (FIRE),2016.05.02,댄스,불타오르네FireFireFireFireWhen I wake up in my room 난 뭣도 없지해가 지고 난 후 비틀대며 걷지다 만신창이로 취했어 취했어막 욕해 길에서 길에서나 맛이 갔지 미친놈 같지다 엉망진창 livin' like 삐이니 멋대로 살어 어차피 니 꺼야애쓰지 좀 말어 져도 괜찮아Errbody say La la la la la La la la la laSay La la la la la La la la la la손을 들어 소리질러 Burn it up불타오르네싹 다 불태워라 Bow wow wow싹 다 불태워라 Bow wow wow Hey burn it up전부 다 태울 것 같이Hey turn it up새벽이 다 갈 때까지그냥 살아도 돼 우린 젊기에그 말하는 넌 뭔 수저길래수저수저 거려 난 사람인데So what니 멋대로 살어 어차피 니 꺼야애쓰지 좀 말어 져도 괜찮아Errbody say La la la la la La la la la laSay La la la la la La la la la la손을 들어 소리질러 Burn it up불타오르네싹 다 불태워라 Bow wow wow싹 다 불태워라 Bow wow wowFire 겁 많은 자여 여기로Fire 괴로운 자여 여기로Fire 맨주먹을 들고 All night longFire 진군하는 발걸음으로Fire 뛰어봐 미쳐버려 다hot hot hot hotter싹 다 불태워라 Bow wow wowhot hot hot hotter싹 다 불태워라 Bow wow wowFire hot hot hot hotterFire 싹 다 불태워라 Bow wow wowFire hot hot hot hotterFire 싹 다 불태워라 Bow wow wow용서해줄게
세븐틴 (SEVENTEEN),아낀다,2015.05.29,댄스,Seventeen YobYou Know What요즘 말야 내가 말야 생각이 많아요즘 말야 너에게 말야할 말이 많아요즘 말야내가 좀 이상해 말수가 적어져 친구들이 다 걱정해요즘 말야네 앞에만 서면 심장이 뛰어서 행동이 서툴러서 미안해아직도 조절이 안 돼나 갖고 놀지 좀 말래왜 자꾸 front 하는 건데모르겠다 모르겠다어떻게든 되겠지그니까 내 말은너를 다 알고 싶어너를 노래해 U Hoo너를 노래해 U Hoo입술이 말라도할 말은 해야겠어 Baby아껴 널 아껴 널현기증 날 정도로 아낀다 요즘 말야내가 말야 요즘 말야아낀다 요즘 말야 내가 말야요즘 요즘 말야어쩌다가 눈이 부시는가이기적인 외모 겸손한 성품을 봐여기 감히 어디라고 농이 아냐너의 매력에 대한 사실을 고한다 Oh 날 보고 웃는 게 좋아선지아니면 그냥 우스워 보이는 건지 hoYeh 지금 자릴 찾고 있다면Yeh 내 옆자리가 좋아 보여Yeh 너에게 관심 많어신발 사이즈 까지도 Oh Oh아 지금 너 땜에 불이 나나를 식히는 건 무리야아 지금 너 땜에 불이 나모르겠다 모르겠다어떻게든 되겠지그니까 내 말은너를 다 알고 싶어너를 노래해 U Hoo너를 노래해 U Hoo입술이 말라도할 말은 해야겠어 Baby아껴 널 아껴 널현기증 날 정도로 아낀다 요즘 말야내가 말야 요즘 말야아낀다 요즘 말야 내가 말야요즘 요즘 말야너 여기 기대도 돼 너의 아픔 나로 덮어도 돼네 속마음 불어눈치 채긴 역부족Can't fake it no more끌어올려 속도튕기는 건 이 쯤에서 끝내고이제 나도 한 번 불러 보자Baby You're My Angel너를 다 알고 싶어너를 노래해 U Hoo너를 노래해 U Hoo입술이 말라도할 말은 해야겠어 Baby아껴 널 아껴 널현기증 날 정도로 아낀다 요즘 말야내가 말야 요즘 말야아낀다 요즘 말야 내가 말야요즘 요즘 말야
더보이즈 (THE BOYZ),THRILL RIDE,2021.08.09,댄스,"T-THRILL RIDE T-THRILL RIDET-THRILL RIDE T-THRILL RIDET-THRILL RIDE T-THRILL RIDET-THRILL RIDE T-THRILL RIDET-THRILL RIDE T-THRILL RIDEJust, Sit back, Go! 느껴 줘 살짝 느껴 줘 (Ya)뭔가 눈부신 감각의 (What) 시간도 Freeze 투명하게 얼 때 한입에 와삭 깨물어 (Woo) Let’s ride it out Don’t hesitate (Hesitate) 주문을 걸어 “Please holiday” (Now) 일렁이는 Breath 순간 너와 나를 덮쳐입술이 말라 숨 가삐 (Oh)심장의 Drum Kick Boom boom boom boomDo it again and again We T-Thrilling Out 오직 둘 만의 Hidden round 거침없이 펼치는 Night 보름달 빛 아래Tu tu ru ru Tu tu ru ru 짜릿해 좀 낯선 Chemistry 퍼져가는 이 느낌We T-Thrilling Out 중독된 듯해Tu tu ru ru Tu tu ru ru T-THRILL RIDE T-THRILL RIDE (How ya feeling) T-THRILL RIDE T-THRILL RIDE (Ah)T-THRILL RIDE T-THRILL RIDE (Chilling chilling)Tu tu ru ru Tu tu ru ru 이리저리 좀 더 멀리 우릴 이끌 Crazy 단 둘이 모험해Until the moment 가장 즉흥적인 감정들만 Choice babe 상상 끝에 머물던 네 호기심을 따라If you wanna yeah Let’s hype up, This vibrate (Vibrate) 롤러코스터보다 더 빠르게 (Oh)돌진하는 Feel 절대 멈출 생각 없어점점 더 빨라 You got me (Nope!) 심장의 Drum Kick Boom boom boom boomDo it again and again We T-Thrilling Out 오직 둘만의 Hidden round 거침없이 펼치는 Night 보름달 빛 아래Tu tu ru ru Tu tu ru ru 짜릿해 좀 낯선 Chemistry 퍼져가는 이 느낌We T-Thrilling Out 중독된 듯해이미 본 것 같아 난We dancing in the moonlight babe yeah부딪히며 엉킨 시간 속황홀한 이 꿈에 Ride What you waiting for? Let’s get it on, Melt chocolate 녹아가 난 널 닮은 여름에넘쳐버린 Chill 흠뻑 너와 나를 적셔 Baby, Catch me, Go! We T-Thrilling Out 오직 둘 만의 Play ground 거침없이 강렬한 Bright 쏟아져 와 네게 Tu tu ru ru Tu tu ru ru 우리 둘만 아는 History 채워줄게 가득히We T-Thrilling Out 말을 잊은 채Tu tu ru ru Tu tu ru ruT-THRILL RIDE T-THRILL RIDE (How ya feeling)T-THRILL RIDE T-THRILL RIDE (Ah)T-THRILL RIDE T-THRILL RIDE (Chilling chilling)Tu tu ru ru Tu tu ru ru 짜릿해 확실한 Chemistry 뚜렷해진 이 느낌We T-Thrilling Out 멈추지 못해
"
아이유,스물셋,2015.10.23,댄스,I'm twenty three 난 수수께끼 Question뭐게요 맞혀봐요I'm twenty three틀리지 말기 Because 난 몹시 예민해요맞혀봐한 떨기 스물셋 좀 아가씨 태가 나네다 큰 척해도 적당히 믿어줘요얄미운 스물셋아직 한참 멀었다 얘 덜 자란 척해도대충 속아줘요난 그래 확실히 지금이 좋아요 아냐 아냐사실은 때려 치고 싶어요아 알겠어요나는 사랑이 하고 싶어아니 돈이나 많이 벌래맞혀봐 어느 쪽이게얼굴만 보면 몰라속마음과 다른 표정을 짓는 일아주 간단하거든어느 쪽이게사실은 나도 몰라애초에 나는 단 한 줄의 거짓말도 쓴 적이 없거든여우인 척 하는 곰인 척하는 여우 아니면아예 다른 거어느 쪽이게뭐든 한 쪽을 골라색안경 안에 비춰지는 거뭐 이제 익숙하거든Check it out겁나는 게 없어요엉망으로 굴어도 사람들은 내게 매일 친절해요인사하는 저 여자모퉁이를 돌고도아직 웃고 있을까늘 불안해요난 영원히 아이로 남고 싶어요아니 아니물기 있는 여자가 될래요아 정했어요난 죽은 듯이 살래요아냐 다 뒤집어 볼래맞혀봐어느 쪽이게얼굴만 보면 몰라속마음과 다른 표정을 짓는 일아주 간단하거든어느 쪽이게사실은 나도 몰라애초에 나는 단 한 줄의 거짓말도 쓴 적이 없거든여우인 척 하는 곰인 척하는 여우 아니면아예 다른 거어느 쪽이게뭐든 한 쪽을 골라색안경 안에 비춰지는 거뭐 이제 익숙하거든난 당신 맘에 들고 싶어요아주 살짝만얄밉게 해도 돼요난 당신 맘에 들고 싶어요자기 머리 꼭대기 위에서놀아도 돼요맞혀봐어느 쪽이게얼굴만 보면 몰라속마음과 다른 표정을 짓는 일아주 간단하거든어느 쪽이게사실은 나도 몰라애초에 나는 단 한 줄의 거짓말도 쓴 적이 없거든여우인 척 하는 곰인 척하는 여우 아니면아예 다른 거어느 쪽이게뭐든 한 쪽을 골라색안경 안에 비춰지는 거뭐 이제 익숙하거든
세븐틴 (SEVENTEEN),Home,2019.01.21,댄스,내가 뭘 어쩌겠어 나는 너가 없으면낡은 로봇처럼맘이 멈추고 늘 차가워우린 뭘 어쩌겠어너는 내가 없으면 Yeh나랑 똑같이 힘들 텐데뭘 어쩌겠어 우리 YehBaby 우리의 따뜻함을그대로 간직하고 싶어어떤 누구라도 우리 사이풀지 못해서Tell me 나의 너 Tell me 나의 너말 좀 해줘 내 안에서난 네 마음 안에서 발버둥 치고 있어덜컥 겁이 나는걸어쩌겠어 난 너가 없으면내 마음 편히 기댈 집이 없어Oh baby내 속은 너를 위해 비어 있어어찌 보면 조금 어렵겠지만언제라도 난 여기 서 있어편하게 생각해도 돼Cuz I’m your home home home homeCuz I’m your home home home homeCuz I’m your home home home home네가 울 수 있는 곳네가 올 수 있는 곳이미 나는 너의 마음을앞지른 것 같아 지금은그렇다고 네 맘이 작다는 게 아냐밖은 여전히 추워 시린 코끝은 더우리를 멀리서도 다가서게 하는 추억네 마음에 구멍 나면두 손으로 막아 주면 돼빈 손이라도 내밀어 줘 내가 채울게Tell me 나의 너 Tell me 나의 너말 좀 해줘 내 안에서난 네 마음 안에서 마음 안에서발버둥 치고 있어 치고 있어덜컥 겁이 나는걸어쩌겠어 난 너가 없으면내 마음 편히 기댈 집이 없어Oh baby내 속은 너를 위해 비어 있어어찌 보면 조금 어렵겠지만언제라도 난 여기 서 있어편하게 생각해도 돼나는 이렇게 너를 보내고 싶지 않아맘이 부서진 채로매일 무섭고 싶지 않아나는 너에게 있을 곳너는 나에게 있을 곳Cuz I’m your home home home homeCuz I’m your home home home homeBecause you’re my homehome home home네가 울 수 있는 곳나도 울 수 있는 곳
