가수,제목,발매일,장르,가사
수지 (Suzy),Yes No Maybe,2017.01.24,R&B/Soul,받지마 알잖아 목소릴 들으면분명히 내 맘이 또 다시 흔들려잠깐만 얘기만나누려 했지만 했지만Yes no maybe도대체 내 맘이 뭔지다신 너를 안 보려 해도또 너에게 가고 있어이젠 no more baby이러는 나를 난 hate me너를 안 볼 수가 없어그런데 볼 수도 없어Yes no no yes noNo yes yes no yes가지마 돌아가 만나면알잖아 또 빠져들어가Yes no maybe도대체 내 맘이 뭔지다신 너를 안 보려 해도또 너에게 가고 있어이젠 no more baby이러는 나를 난 hate me너를 안 볼 수가 없어그런데 볼 수도 없어언제까지 이럴 순 없잖아끝이 뻔한 길을계속 걸어갈 수는 없잖아가면 안 되는 길을되풀이 하는 내 모습을 봐이런 내가 이해가 안가Yes no maybe도대체 내 맘이 뭔지다신 너를 안 보려 해도또 너에게 가고 있어이젠 no more baby이러는 나를 난 hate me너를 안 볼 수가 없어그런데 볼 수도 없어Yes no no yes noNo yes yes no yesYes no no yes noNo yes yes no yes하지마 마지막이라고하면서도 또 다시
라디 (Ra. D),Lovesome,2016.09.01,"발라드, R&B/Soul, 국내드라마",네가 나쁜 놈이라는 거 알아만나기 전부터 알고 있던 거그래도 네가 하는 말이너무 속이 상한단 말이야잘난 척 혼자서만 괜찮은 척웃으면 퍽이나 내가 믿겠다내가 아는 넌 그렇게 웃지 않아꼭 이렇게 못된 널놓아주기 싫어 왠지 모르게더 붙어있고 싶어 왠지 모르게널 놓아주기 싫어곁에 붙어있고 싶어기꺼이 할게 아픈 말 쓰린 말모두 참아내는 그런 일너를 놓아주기 싫어왠지 곁에 있고 싶어 늘 이대로네가 나쁜 꿈이라는 걸끝까지 믿고 싶은지도 몰라가까이 가면 따가운 너왠지 밀어내고 싶지 않았어고요한 날 그 날 네가 내게던져 놓은 작은 울림그 떨림이 난 왜 멈춰지지 않아꼭 이렇게 못된 널놓아주기 싫어 왠지 모르게더 붙어있고 싶어 왠지 모르게널 놓아주기 싫어곁에 붙어있고 싶어기꺼이 할게 아픈 말 쓰린 말모두 참아내는 그런 일너를 놓아주기 싫어왠지 곁에 있고 싶어 늘 이대로마침 네가 서 있고하필 둘이 서 있어NO NO NO 자꾸 끌려가려 해Even when you’re not aroundYou make me smileLovesome Lovesome 매일 미워해도넌 oh 넌 Lovesome놓아주기 싫어 왠지 모르게더 붙어있고 싶어 왠지 모르게널 놓아주기 싫어곁에 붙어있고 싶어기꺼이 할게 아픈 말 쓰린 말모두 참아내는 그런 일너를 놓아주기 싫어왠지 곁에 있고 싶어 늘 이대로Lovesome 나에게 넌Lovesome 매일 미워해도넌 oh 넌 Lovesome
애즈원,Day By Day,1999.11,R&B/Soul,I never knew I could fall in  love again  Cause my heart was weak  and worn But you  promised methat you would  love me  and that we'd be one  forever Nothing compares to  the love that you and I share  Just be careful with my heart  and I'll love you always  조심스레 다가오는 널 처음으로  알게됐던 날  기쁨대신 한숨에 며칠 밤을  세웠었지  아주 오래 걸릴지 몰라 누군가  받아들이긴  아직 부족한 날 알아주겠니  너무 소중했던 사람이 떠나  버린후로  사랑할 수 없다고 난 믿어왔는데  나의 상처까지도 안아주는 널  위해 매일  조금씩 보여줄게 내일 조금더  친해질 거야  지금 내 모습 이대로는 너를 사랑하긴 모자라  나의 마음 모두 너에게 내어  줄 수 있도록  준비하는 날 기다려 주겠니 다시 너를 잃지 않을까 두려운  생각이 앞서  선뜻 너에게 다가설 수 없고  떠난 그의 생각 때문에 아직  눈물 많아 니 앞에서  운적도 난 많았었는데  그런 나의 눈물도 닦아주는 널  위해 매일 조금씩 보여줄게  내일 조금더 친해질 거야  지금 내 모습 이대로는 너를 사랑하긴 모자라  나의 마음 모두 너에게 내어  줄 수 있도록  준비하는 날 기다려 주겠니  다만 이것만은 기억해 많이  힘들던 날들에  지친 내맘 열어준 사랑 너 하나 였다는걸  너의 커다란 사랑만큼  아니 그보다  잘해줄거야 지금 니모습 그대로만 그냥 편안히 날 지켜봐 고이 아껴둔 내 사랑이 네게 전해지는 날 그때 말할게 널 사랑한다고 준비하는 날 기다려주겠니 
재만 (JAEMAN),day off,2022.03.11,R&B/Soul,가만히 누워있어잠들지 못하는 나의 밤엔No wayThere's no way시간은 흐르고 있고무거워진 몸은 또 하루를 삼키네애써 얼마나 더 내가어떻게 더 뭘 해야 하는지숨고 싶어 매일을또 매일을아마 난 내일도no changes숨 쉬어지지 않아날 쉬게 해 줄또 다른 내일이oh 매일이 어려워 내겐I've been waiting밤이 깊어지네이대로 난 off the day머리를 좀 쉬고 싶어조급한 내 맘을 이기지 못해이렇게보이는 건 많아지고지쳐있는 두 눈 속에 난 없네계속 제자릴 맴도는달라질 것 없는 내 모습이숨고 싶어 매일을 또 매일을아마 난 내일도no changes발이 떨어지지 않아날 일으켜 줄또 다른 내일이oh 매일이 어려워 내겐I've been waiting밤이 깊어지네이대로 난 off the day자꾸만 늘어가는오늘의 무게 위에모른 척 fall asleepI just fall asleep잠시 저물어가는내 맘 어디쯤에 기대모른 척 fall asleepI just fall asleep
프라이머리,Bawling,2015.03.24,R&B/Soul,쭉 뻗은 레일 그 위에지난번처럼 너와 서있어 그 뒤엔마른침을 넘기고 나서는 등 뒤에차갑게 젖은 땀을 좀 식히고just a little bitjust a little bit그래 이 때엔네게 다가가 일상을 묻고 난 뒤에뻔한 네 얘기에귀 기울이고 널 위해변했다는 사실을 알려줄변명을 찾으려and we playbowling bowling bowling bowlingbowling game againthat ball justrunning running running runningrunning out again다시 또 공을 줍고선점수를 훑고선그래 아 우린 슬픈 거야sideway we take벗어난 길로 가던 너인데 난 왜발맞추기 보단 눈을 맞출까그 왜 있잖아 말보단 행동이잖아there's a lot of pinsyou're the one of them그래 이젠네게 다가가 기회를 묻고 난 뒤에답을 기다리는정적 속에서 널 위해변했다는 사실을 알려줄변명만 찾으려 해and we playbowling bowling bowling bowlingbowling game againthat ball justrunning running running runningrunning out again다시 또 공을 줍고선점수를 훑고선그래 아 우린 슬픈 거야순수하지는 않아도순진하긴 했었어뭣도 몰랐던 나야넋을 놓고 우린아무것도 안 해서아무것도 아닌 거야뭣도 몰랐던 나야넋을 놓고 우린and we playbowling bowling bowling bowlingbowling game againthat ball justrunning running running runningrunning out again다시 또 공을 줍고선점수를 훑고선그래 아 우린 슬픈 거야and we play
GEMINI (제미나이),"MIA (Feat. CAMO, WOODZ (조승연))",2021.11.16,R&B/Soul,Come around me새벽에 갇힐 듯이 더 가까이난 너에게 헤매듯 하루 종일여긴 익숙하지 않아 미로같이right around me헷갈린 마음에선 I can't choose난 날 잃어버려도 돼 쭉네 몸 안에서 난 미아I’m in love with some ideaEverything around meis some idea I foundin something holy매일 밤 반복되는 deja vu알 수 없는 이 낯선 기분Everything around meI disappearedwith something being lonely난 날 잃어버려도 돼 쭉날 가지고 놀아 넌 대충MIA MIA MIA MIA MIAMIA MIA MIA MIA MIA알려주지 않아도 돼 이미 lost in youBeen empty for yearsI’m not afraid of youLove is just a feelingI know you feel it too벌써 가지 않아도 돼 눈치 보지 말고Wrist on fist on CartierBig signs 머리에Never wanna let go of anything그리 차갑던 새벽에네 온기에 닿을게If your down down down oohIf I had to lose myself to fulfill meI’d do anythingfor it yeah you can use meA couple milliwon’t ever satisfy meRunnin’ roundlike a lil kiddo why she tweakin’Everything around meis some idea I foundin something holy매일 밤 반복되는 deja vu알 수 없는 이 낯선 기분Everything around meI disappearedwith something being lonely난 날 잃어버려도 돼 쭉날 가지고 놀아 넌 대충MIA MIA MIA MIA MIAMIA MIA MIA MIA MIA입술에 번진 모를 이 향기에 취해폰을 난 엎어놔저 달도 왠지 다 아는 듯이 날 밝혀밤을 새워 up all nightI can’t find the exit where I go nah난 날 잃어버려도 돼 쭉 right네 몸 안에서 난 미아I’m in love with some ideaEverything around meis some idea I foundin something holy매일 밤 반복되는 deja vu알 수 없는 이 낯선 기분Everything around meI disappearedwith something being lonely난 날 잃어버려도 돼 쭉날 가지고 놀아 넌 대충MIA MIA MIA MIA MIAMIA MIA MIA MIA MIA
Stray Kids (스트레이 키즈),바람 (Levanter),2019.12.09,R&B/Soul,쫓다 보면 닿을 것만 같았어의심 따윈 해본 적도 없었어상상한 널 안았지만두 손 꽉 널 잡았지만품속엔 공허함만남은 채 헤매이다결국 깨닫게 됐어널 놓아야만 한다는 걸Oh 스스로 속여가며Oh 버텨낸 꿈을 깬 순간Oh 쏟아져 내리는 빛이 느껴져I wanna be myselfI don’t care아직 낯설다 해도Just don’t care널 벗어난 순간 내가 보여모든 게 다 눈앞이 다이제는 알겠어Now I know내게 필요했던 건 나란 걸내 두 발이 가는 대로 걸어가I feel the light I feel the light한결같이 너를 향해달려가다 깨달은 건내 모든 건 널 향해 있었어너에게 가까이 갈수록점점 더 날 잃어갔어저기 나무 밑에 떨어진 낙엽처럼결국 눈 속에 묻혀 짓밟힌다 해도이젠 너를 넘어서 봄을 찾아 떠나가남겨진 감정은 부는 바람에 휘날려Oh 꿈속에 날 가뒀던Oh 터널을 벗어난 순간Oh 쏟아져 내리는 빛이 느껴져I wanna be myselfI don’t care아직 낯설다 해도Just don’t care널 벗어난 순간 내가 보여모든 게 다 눈앞이 다이제는 알겠어Now I know내게 필요했던 건 나란 걸내 두 발이 가는 대로 걸어가I feel the light I feel the light널 놓는다는 게 두려웠었지만놓을 수밖에 없어 난It’s all good nowI wanna be myselfI don’t care아직 낯설다 해도Just don’t care너를 벗어나고서야 보여모든 게 다 눈앞이 다
이바다,야몽음인 (夜夢陰人),2018.08.22,"R&B/Soul, 인디음악",yeah yeah yeah yeah yeah yeahyeah yeah yeah yeah yeahyeah yeah yeah yeah yeah yeahyeah yeah yeah yeah yeahI'm sitting in the dark그 어두운 방 너와 나만I'm sitting in the dark그림자 사이 피어올라sitting in the dark그 어두운 방 너와 나만sitting in the dark그림자 사이 피어올라you was good underflowuhuh 난 알고 싶어how you feeluhuh 밤이 되면 몰려오는꿈들 사이 우린 뒤엉켜너와 나 사이 좁혀져so wet so where어딜 가고 싶은지말해줄래 흔들려 이 방안의 공기가어지러워 날 헝클어줄래I'm sitting in the dark그 어두운 방 너와 나만I'm sitting in the dark그림자 사이 피어올라sitting in the dark그 어두운 방 너와 나만sitting in the dark그림자 사이 피어올라yeah yeah yeah yeah yeah yeahyeah yeah yeah yeah yeahyeah yeah yeah yeah yeah yeahyeah yeah yeah yeah yeah넌 체리처럼 물든 나의 입술 위로흘려보내 그때를 떠올려달콤한 꿀을 찍어 바른듯해자꾸 아찔해져upside down몇 번씩 일렁이는 이 파도가난 너를 날것 그대로 받아들일게아니 바다가 될게 너를 끌어올려네가 닿을 수 없는 곳까지 널I'm sitting in the dark그 어두운 방 너와 나만I'm sitting in the dark그림자 사이 피어올라sitting in the dark그 어두운 방 너와 나만sitting in the dark그림자 사이 피어올라she said what comes next내 부서진 맘을 네가 알아준다면I'm sitting in the dark그 어두운 방 너와 나만I'm sitting in the dark그림자 사이 피어올라sitting in the dark너와 나만sitting in the dark그림자 사이 피어올라
임정희,"Music Is My Life (삼성전자 옙 CF 임정희, 재희편)",2005.06.10,R&B/Soul,내가 지치고 힘들 때면 모든 게 하나 둘 무너져 갈 때면 항상 나를 다시 일으켜 줬던 건 음악 음악이야 음 사랑 사랑이 날 울려도 험한 세상 세상이 등을 돌릴 때도 견디게 해준 건 날 붙잡아준 건 음악 내 음악이야 Music is my life Music is my life Music is my life Music is my life Music is my life Music is my life Music is my life Sunshine my light Piano 앞에 앉아 아픔을 말하고 Guitar를 품에 안고서 울었어 너무 힘들어서 눈물이 흘러도 음악 음악이 좋았어 Music is my life Music is my life Music is my life Music is my life Music is my life Music is my life Music is my life Sunshine my light Music is my life Music is my life Music is my life Music is my life Music is my life Music is my life Music is my life Sunshine my light 언젠가 내게 기회가 올 거야 내 노래를 들려 줄 멋진 무대 위 사람들 앞에서 가슴이 터질 듯한 함성이 들려 Music is my life Music is my life Music is my life Music is my life Music is my life Sunshine my lightMusic is my lifeMusic is my lifeMusic is my lifeSunshine my light
BIGBANG (빅뱅),눈물뿐인 바보,2006.08.29,R&B/Soul,Yo I feel so emptyseens you left me it's likei don't even knowhow to explainyou see i'm sayin많이 아퍼서 너무 화나서나는 믿고 싶지 않았지너의 두 눈에 너의 입술에그 안에 내가 살고 있었는데이젠 널 떠나라는 말을어떻게 나에게 할 수 있니너무나도 당황해 그만너를 보냈지사랑한 기억이 나를 붙잡고좋았던 말들이 나를 울리고가지 말라는 말조차하기도 전에벌써 넌 돌아서 버렸고지나간 시간을 돌려서라도너에게 준 상처 다 준대도오로지 너 하나만 있어준다면그걸로 난 됐어 난 됐어forever하루가 가고 한 달이 가도시간은 무의미했었지수화길 들어 너를 들어도한마디 못한 채로 끊는 내가나도 널 잊겠다는 말을어떻게 내가 할 수 있겠니너무나도 애타는 내 맘Please don't leave me baby사랑한 기억이 나를 붙잡고좋았던 말들이 나를 울리고가지 말라는 말조차하기도 전에벌써 넌 돌아서버렸고지나간 시간을 돌려서라도너에게 준 상처 다 준대도오로지 너 하나만 있어준다면그걸로 난 됐어 난 됐어Forever나 눈물뿐인 바보로남는다 해도도저히 너를 잊지 못해나는 어쩔 수 없나 봐and every night또 눈물이 baby내게로 돌아와줄래yo listen잊는다는 말은 no way난 너 하나밖에 모르는데너와 한 사진 한 장끝내 버리지 못하고 바라보네아마 나 너 아니면다신 사랑이란 거 두 번 다시하고 싶지도 할 수도 없어내겐 이제 너 아니면 안돼plz come back here수많은 사람들 속에서널 지켜낼 수 있어널 위해 살 수 있어ma baby이제까지 길 잃은내 마음 속 주인은바로 너뿐인걸 ma lady너 없인 숨 쉴 수 없는걸돌아와줘 girl네가 너무도 보고 싶어cuz you'r ma luv고마워 날 행복하게 해줘서미안해 날 사랑 못하게 해서서로에게 마음마저주는 일까지이제는 다 못하게 돼서죽어도 너 하나만 사랑할게아파도 너만은 기다릴게그때까지만 내게 돌아오면돼너만을 사랑해 사랑해Forevernever ever you seeyou're ma girl andthat's ma worldye baby only one 
SG 워너비,사랑가,2006.11.15,R&B/Soul,"사랑하는데 무슨 이유 있나요? 사랑하는데 무슨 조건 있나요? 그댈 사랑하는데.. 정말 사랑하는데.. My love 내가 곁에 있는데.. 그댄 어디 있나요? 그대 곁에 있는데.. 대체 어디 있나요? My love.. My love.. My love.. My love.. 대답없는 사람아 이 못난 사람아 내 사랑아 내 사랑아 이 아픈 가슴은 이제 나더러 어쩌란 말야 이 아픔아 이 슬픔아 이 아픈 가슴을 어쩌란 말야 내 사랑아..  < 간주    내가 곁에 있는데.. 그댄 어디 있나요? 그대 곁에 있는데.. 대체 어디 있나요? My love.. My love.. My love.. My love.. 눈물없는 사람아 이 못난 사람아 내 사랑아 내 사랑아 이 아픈 가슴은 이제 나더러 어쩌란 말야 이 아픔아 이 슬픔아 이 아픈 가슴을 어쩌란 말야 My love.. My love.. My love.. 이것만 기억해 줘요 세상 끝날이 와도 내가 함께 있음을 내 사랑아 내 사랑아 이 아픈 가슴을 이제 나더러 어쩌란 말야 이 아픔아 이 슬픔아 이 아픈 가슴을 어쩌란 말야 내 사랑아..  내 사랑아.. 내 슬픔아.. 내 사랑아..
"
CHEEZE (치즈),빈칸에게 (Feat. 10CM),2022.08.11,R&B/Soul,아무 대답 없는 아무 소리도 없는이제는 다 떠내려간 마음을 가만두네주워 담아봐도너는 여전할 테니까나의 빈칸을 비워 둘게네가 다시 스며올 수 있게나의 빈칸을 가만둘래요텅 비어버릴래 네가 없으면아름다웠나 봐 내겐아슬아슬했던그 모든 게 잔인하게매일 밤 날 조여와도아무 말도 못 하네마음을 닫아봐도나는 여전할 테니까나의 빈칸을 비워 둘게네가 다시 스며올 수 있게나의 빈칸을 가만둘래요텅 비어버릴래 네가 없으면기억을 걷다 보면 만날 수 있을까어떤 형태라도 내게다시 꼭 돌아와 줄래나의 빈칸을 비워 둘게네가 다시 스며올 수 있게나의 빈칸을 가만둘래요텅 비어버릴래나의 빈칸을 비워 둘게네가 다시 스며올 수 있게나의 빈칸을 가만둘래요텅 비어버릴래 네가 없으면
폴킴,나의 봄의 이유,2020.04.22,R&B/Soul,이슬비가 멈추면 내게 와줘요 그땐 다시 그대가 선물해준 미소 지어 보일 테니 그대 알고 있나요 볼 수 있나요 여기 내 안에 자라고 있는 꽃 한 송이 당신의 거예요 다시 태어난다 해도 그대의 곁에서 언제나 함께이길 우연인듯한 인연이 지금처럼 우릴 또다시 이어주길 영원한 건 없어도 작은 바람은 나 그대를 오랫동안 볼 수 있기를 그거 하나면 돼요 다시 태어난다 해도 그대의 곁에서 언제나 함께이길 우연인듯한 인연이 지금처럼  우릴 또다시 이어주길 겨울이 보란 듯이 온 세상을 얼려도 내 마음이 항상 따뜻한 건 그대가 곁에 있어 시든 나의 맘에 봄이 온 거죠 그대를 사랑해요 아주 많이요 
비비 (BIBI),사랑의 묘약,2021.02.01,R&B/Soul,배가 고프다면 밥을마음이 허전하면 단짝 친구들사랑이 부족하면 나를빠르고 간편하게 삼켜 주세요가슴이 두근두근 얼굴이 발그레해자꾸만 생각나요 뭐 잘못된 건가요잠에 밤이 안 오고 말을 더듬거려요그럼 나는 어떡하죠fill me fill you i got some lovefeel me feel you i got some lovefeed me feed you with my lovefill me fill you with my l o v e말문이 막힐 때는 나를숨 쉬지 못할 만큼 꽉 안아보세요주눅이 들었다면 너를괜찮아질 때까지 토닥여줄게요사랑은 어려워요 마음은 복잡하고아직은 서툴러요 뭐 잘못된 건가요좋아한다고 나를 솔직히 말해줘요내 눈을 바라봐줘요fill me fill you i got some lovefeel me feel you i got some lovefeed me feed you with my lovefill me fill you with my l o v e
가호 (Gaho),Officially missing you,2021.07.15,R&B/Soul,널 기다리던 밤처럼길고 어둡던 우리 사이 공백이게 끝이 아니길 바래I wanna go back너가 원하던 거다 고친 지금에야 넌 어디로 갔는지난 홀로 남아 lonely오늘 따라 부는 바람도참 시린 것 같은데넌 왜이리 멀쩡해보이는 건지눈치도 없는 너지만예전처럼만 웃어주면돼나에겐 너 하나뿐인 걸너땜에 아파 하는걸널 잊으려고 노력해봐도 잘 안돼널 미워하는 건too hard 너무 어려워날 몰라주는 너도 서러워I'm officially missing youofficially missing youOoh can't nobody do it like youSaid every little thing you dohey babySaid it stays on my mindAnd I-I'm officiallyWell I thought I couldjust get over you babyBut I see that's somethingI just can't doFrom the way you would hold meTo the sweet things you told meI just can't find a way to let go of you나에겐 너 하나뿐인 걸너땜에 아파 하는걸널 잊으려고 노력해봐도 잘 안돼널 미워하는 건too hard 너무 어려워날 몰라주는 너도 서러워I'm officially missing youofficially missing youOoh can't nobody do it like youSaid every littlething you do hey babySaid it stays on my mindAnd I-I'm officially
송이한,추억에 묻어둔 채 살아갈게,2021.12.12,R&B/Soul,너 없는 하루를멍하니 버텨내넋이 나간 사람처럼나 홀로 지내는 게아직은 버거운데오늘도 억지로 견뎌네바람이 스쳐 지나듯햇살이 잠깐 내리듯지난날의 아름다운 슬픈 이야기처럼추억에 묻어둔 채 이대로 살아갈게오지 않는 너를 기다리며아프지 않게미워하진 않을게네가 남긴 사랑도 내겐충분했으니까 이젠 보내줄게지나간 기억은미련을 지우듯후회를 전하기만 해의미 없는 흔적만한참을 바라보다어느새 하루가 흘러가바람이 스쳐 지나듯햇살이 잠깐 내리듯지난날의 아름다운슬픈 이야기처럼추억에 묻어둔 채 이대로 살아갈게오지 않는 너를 기다리며 아프지 않게미워하진 않을게네가 남긴 사랑도 내겐충분했으니까 이젠 보내줄게아픔은 뒤로 미룬 채더는 널 찾지 못하게무엇 하나 바라지 않을게꺼내볼 수 없는 가슴속에 숨겨놓고서아파도 견뎌볼게네가 없는 세상은 내겐의미 없겠지만 이젠 보내줄게그저 좋았던 지난날 우리로
박문치,What a Wonderful Word,2021.02.28,R&B/Soul,사랑 이라고 흔히 부르지근데 그래서 그게 뭔지풀어 놓는 건 다 달라Oh why사람의 감정은 수학 공식처럼 딱 떨어지진 않지알긴 아는데 알고 싶단말야너의 눈동잔 밤 위의별을 전부 담았나 봐우주가 널 담아 더 빛날까이렇게나마 얘기해봐What a wonderful wordWhat a wonderful word Can’t ExplainWhat a wonderful word 설명 못해눈앞에 보이는 몇 개의단어론 표현 못 해What a Wonderful word빛이나는 단어로 몇 갤 섞어도 봤어가장 아름다운 말로도채워질 수 없는 거야 베이베What a Wonderful word니 눈빛을 보면 I'm in space그래서 그런가 봐 숨이 멎네갑갑한 세상이란 문장 속에You're the space섧은 어둠 속에서도 빛나는가로등 빛이 널 닮아서길을 밝혀줘반딧불이 우릴 비추고풀 내음이 나는 곳에서Let's talk about this wonderful worldWhat a wonderful word Can’t ExplainWhat a wonderful word 설명 못해눈앞에 보이는 몇 개의단어론 표현 못 해What a Wonderful word
제이,831 8,2000.04.21,R&B/Soul,그래도 하루를 살고 가끔 웃기도 하죠이렇게 살다보면 잊는걸까요그대 얼굴마저 잊을까난 자꾸 두려워 져요이 사진 한장 조차도 버릴 수 없어 망설이고 있죠난 어떡해야 좋은걸까요내게 말했던 대로 모두 지우면 그대 서운하지 않은가요아무말도 못하겠지만아주 잠시라 해도그댈 꼭 한번만 볼수 있다면 It's all l ask오늘은 이런 생각도 왠지 어색해져요이렇게 변하는게 맞는건가요그댈 마주치는 어느날 어쩌면 스쳐가겠죠조금 닮은 뒷모습에도 한참동안을 숨쉴수 없는데난 어떡해야 좋은걸까요내게 말했던 대로 모두 지우면 그대 서운하지 않은가요아무말도 못하겠지만아주 잠시라 해도 그댈 꼭 한번만 볼수 있다면It's all l ask아직 모르겠어요믿을수 없죠 다신날 찾아 오지 않을꺼라면제발 가르쳐 줘요 그대 없이도 나 살아가야 하잖아요더 이상은 울지 않도록 이런나의 바램도오늘이 마지막이면It's all l askIt's all l ask
비,Love Story,2008.10.15,R&B/Soul,Hey this is my storyIt's true O. K. ListenOh baby 너에게 하고 싶었던 그 말나의 맘 속 안에서나를 슬프게한 그 말우리 사랑했지만갈 수 없었던 그 이율바보같이 아무말도 전할 수 없었네한 번만 더 기회를 줘나는 몰랐었어너의 마음이 변한건지아직 늦진 않았잖아빌었지만 차갑게 돌아선 니 모습이 노래는 진실했던 사랑이야기모든 걸 다 바쳤던 나의 이야기하지만 이젠 끝을 모두 맺어버린지나간 나의 사랑이야I love you 아직도 사랑해이건 나의 솔직한 나의 맘 소리모든 걸 다 바칠 수 있는다짐을 말하고 있는거야내게 돌아와줘 영원히 기다릴께 널I love you 아직도 사랑해Oh 사랑했잖아 너는 잊을 수 있니추억 속의 사랑너는 나를 떠났지만나와 했던 약속은 아무것도 아닌건지너는 웃으면서 나의 애길하더라죽을 것 같이 난 아파 oh no단지 단 한 번만너와 함께 할 수만 있다면난 숨을 쉴 수가 없어나의 모든 것들이 너를 원하잖아이 노래는 진실했던 사랑이야기모든 걸 다 바쳤던 나의 이야기하지만 이젠 끝을 모두 맺어버린지나간 나의 사랑이야I love you 아직도 사랑해이건 나의 솔직한 나의 맘 소리모든 걸 다 바칠 수 있는다짐을 말하고 있는거야내게 돌아와줘 영원히 기다릴께 널I love you 아직도 사랑해나도 잊는다 추억 지우며내 맘이 곪아서 더 이상은 못하겠어아프겠지만 끊어버릴꺼야너와의 가슴 속 모든 인연들을한가지만 기억해너의 모든 걸 다 안아줄 수 있었던남자 나였단 걸이젠 너 없이도 뭐든 해낼꺼고지금 이 노래를 들어이 노래는 널 향한 사랑이야기내 사랑이야기모든 걸 다 바쳤던 나의 순정이후회되진 않아널 이제 잊을꺼야지나간 나의 사랑아I love you 아직도 사랑해이건 나의 마지막 널 향한 목소리모든 걸 다 알고있는나의 외침이 들린다면내곁에 다시 돌아와줘영원히 너를 사랑해I love you 너만을 사랑해baby please come back to meI miss you baby
공기남,"SENTOSA (Feat. 1ho, Imreu)",2023.05.17,"R&B/Soul, 인디음악","푸른 하늘 blue sky빛나는 하늘색 바다초록 숲이 가득해Yes, I am ok눈 앞에 펼쳐진 기적 같은 이 순간온종일 걸어도 한적함이 가득해여기저기 불어오는 바람마저 완벽해That's rightThat's right oh beautiful dayLook at me Look at me I'm okLet's ride Let's ride 저 구름 위로Let me know Let me know tell me babyBeautiful skyLook at me Look at me I'm okLet's ride Let's ride 저 구름 위로Let me know Let me knowtell me babyNow I am in sentosasentosa ah ah ahTV를 켜봐도 난 boring time머릿속엔 가득 복잡한 고민난 피하지 못하고 낙하를 할 듯해고민 말고 무작정 떠나야 해지금 벗어나야만 해뒤도 돌지 말고 자, 떠나자내가 가는 곳 찾는 곳기다려 baby저 태양이 날 향해비치는 그곳으로빨주노초파남보 무지개가 뜨고 있어떠나자sentosa ah ah ah저 푸른 하늘 위에 blue sky날 향해 달려오는 무지개날 잡아줘 끌어줘바람을 타고 가 볼게Look at me Look at me I'm okLet's ride Let's ride 저 구름 위로Let me know Let me know tell me babyBeautiful skyLook at me Look at me I'm okLet's ride Let's ride 저 구름 위로Let me know Let me knowNow I am in sentosa"
임한별,넌 나 어때,2022.04.15,R&B/Soul,좋아 보여 오늘 니 기분덕분에 내 기분도 한껏 들떴어오늘 시간 어때 난 다 비워놨는데너만 오면 될 것 같아못 참겠어 더는 이 마음눈을 마주치기만 해도 두근거려서말도 안 나와 괜히 더 어색해져짧은 웃음 하나에도 난하루 종일 난 니 연락을 기다려너와 찍은 사진 한 장에도난 세상을 가졌어니 손 꼭 잡고 같이 있고 싶은데그래서 그런데 넌 나 어때이상하지 너를 보는 날엔날씨가 너무 좋아내 맘을 대변해 주나 봐해가 뜨면 따뜻해서 좋고비가 오면 감성적이라서 좋아뭐든지 l'm fine이별 노래와는 거리두기 중내 맘의 발자국은 미리 대기 중거리로 나갔더니 모두 나를 반겨저기 흘러나오는 노래또 멜로 드라마 영화까지모두 내 얘기를 하고 있는 듯해넌 어때이젠 셀 수도 없는너를 향한 맘의 가치걸을래 같이하루 종일 난 니 연락을 기다려너와 찍은 사진 한 장에도난 세상을 가졌어니 손 꼭 잡고 같이 있고 싶은데그래서 그런데 넌 나 어때시간이 갈수록 지쳐만 가 난가끔 만나는 게 싫단 게 아니라항상 곁에 두고 싶어니 옆에 있고 싶어그렇게 눈 뜨고 싶어하루 종일 난 니 연락을 기다려너와 마신 커피 한 잔에도난 세상을 가졌어니 손 꼭 잡고 같이 있고 싶은데그래서 그런데하루 종일 난 니 연락을 기다려너와 찍은 사진 한 장에도난 세상을 가졌어니 손 꼭 잡고 같이 있고 싶은데그래서 그런데 넌 나 어때지구를 몇 바퀴나 돌아봐도널 대신할 사람은 No one어디에도 없지아낌없이 주는 나무 그게 내가 될게니가 원하면 뿌리까지 뽑지난 그저 니 맘이 궁금해이왕이면 나와 같았으면 해용기 내서 뱉어 본 말넌 나 어때
